PBIUSI	Genus	species	Country	State_Prov	Sec_Subdiv	Locality	Lat	Lon	Start_Date	End_Date	Collector	Sex	Inst_Code	Project	Type	Det_By	Det_Date	Det_History	Spec_Notes	Loc_Notes	Accuracy	Coll_Method	Pres_Method	Spec_Count	Lat_Lon_Method	Lat_Lon_Accuracy	Elev_m	Elev_f	Elev_Det	Trip_Code	Dissections	Illustrations	Measurements	Photos	SEM	DNA	OrigUSI	Family	Subfamily	Tribe	Macro_Habitat	Micro_Habitat	Host_Family	Host_Genus	Host_species	Host_subspecies	Host_Author	Host_Common_Name	Host_Relation	Host_Location	Host_Emergence_Date	Host_with_Specimen
	Phoenicocoris	rostratus	USA	California	Mono	Inyo National Forest, near Crestview	37.76937	-119.00327			D. Poole	Adult Female	LACM	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	None	M. D. Schwartz	2004	Phoenicocoris rostratus (Knight)				Unknown	Pinned	2							NO	NO	NO	NO	NO			Miridae	Phylinae	Phylini												NO
	Megalopsallus	pictipes	USA	California	Orange	Santa Ana	33.74556	-117.86694	10 Jun 1936		C. E. Norland	Adult Female	LACM	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	None							Unknown	Pinned	1							NO	NO	NO	NO	NO			Miridae	Phylinae	Phylini												NO
	Europiella	decolor	USA	California	Los Angeles	Whittier	33.97917	-118.03194	24 Mar 1916		L. L. Muchmore	Adult Male	LACM	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	None							Unknown	Pinned	4	GeoLocate Software		114	375	Google Earth		NO	NO	NO	NO	NO			Miridae	Phylinae	Phylini												NO
	Plagiognathus	verticalis	USA	California	Los Angeles	Griffith Park Bird Sanctuary	34.13583	-118.29972			L. J. Muchmore	Adult Female	LACM	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	None							Unknown	Pinned	1							NO	NO	NO	NO	NO			Miridae	Phylinae	Phylini												NO
	Europiella	decolor	USA	California	Ventura	Oak View	34.40000	-119.29917	30 Dec 1964		P. M. Jump	Adult Male	LACM	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	None							Unknown	Pinned	2							NO	NO	NO	NO	NO			Miridae	Phylinae	Phylini												NO
	Europiella	decolor	USA	California	Ventura	Ventura	34.27833	-119.29222	23 Jan 1919	20 Jan 1965	P. M. Jump, E. O. Essig	Adult Male	LACM	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	None							Unknown	Pinned	15							NO	NO	NO	NO	NO			Miridae	Phylinae	Phylini												NO
	Europiella	decolor	USA	California	Los Angeles	San Vicente	36.50167	-121.39194	14 May 1938		C. E. Norland	Adult Male	LACM	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	None							Unknown	Pinned	2							NO	NO	NO	NO	NO			Miridae	Phylinae	Phylini												NO
	Europiella	decolor	USA	California	Mono	Mono Lake	38.01667	-119.00833	01 Jan 1939		W. D. Pierce	Adult Male	LACM	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	None							Unknown	Pinned	2							NO	NO	NO	NO	NO			Miridae	Phylinae	Phylini												NO
	Europiella	decolor	USA	California	Los Angeles	Malibu	34.00500	-118.80917	27 Feb 1966		Unknown	Adult Male	LACM	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	None							Unknown	Pinned	2							NO	NO	NO	NO	NO			Miridae	Phylinae	Phylini												NO
	Europiella	decolor	USA	California	Orange	Black Star Canyon	33.77333	-117.68139	10 Mar 1935		Unknown	Adult Male	LACM	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	None							Unknown	Pinned	1							NO	NO	NO	NO	NO			Miridae	Phylinae	Phylini												NO
