PBIUSI	Genus	species	Country	State_Prov	Sec_Subdiv	Locality	Lat	Lon	Start_Date	End_Date	Collector	Sex	Inst_Code	Project	Type	Det_By	Det_Date	Det_History	Spec_Notes	Loc_Notes	Accuracy	Coll_Method	Pres_Method	Spec_Count	Lat_Lon_Method	Lat_Lon_Accuracy	Elev_m	Elev_f	Elev_Det	Trip_Code	Dissections	Illustrations	Measurements	Photos	SEM	DNA	OrigUSI	Family	Subfamily	Tribe	Macro_Habitat	Micro_Habitat	Host_Family	Host_Genus	Host_species	Host_subspecies	Host_Author	Host_Common_Name	Host_Relation	Host_Location	Host_Emergence_Date	Host_with_Specimen
	Europiella	decolor	USA	California	San Diego	Mission Dam and Flume Historic Site	32.84194	-117.03972	02 Jan 1928	16 Mar 1929	C. C. Searl	Adult Male	SDNH	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	None							Unknown	Pinned	23							NO	NO	NO	NO	NO			Miridae	Phylinae	Phylini												NO
	Europiella	decolor	USA	California	San Diego	Dictionary Hill	32.72583	-116.99250	04 Dec 1979		Faulkner, Brown	Adult Male	SDNH	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	None					Uncertainty: 1807 m; Uncertainty determined by Geolocate 2014		Unknown	Pinned	1		1000-10000	319	1046	Google Earth		NO	NO	NO	NO	NO			Miridae	Phylinae	Phylini												NO
	Europiella	decolor	USA	California	San Diego	Morena Dam	32.78083	-117.20694	26 May 1929		Unknown	Adult Male	SDNH	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	None							Unknown	Pinned	1							NO	NO	NO	NO	NO			Miridae	Phylinae	Phylini												NO
	Plagiognathus	phaceliae	USA	California	San Diego	Anza-Borrego Desert State Park, Borrego Springs	33.04866	-117.04194	01 Apr 1978		D. Faulkner	Adult Male	SDNH	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	Paratype							Unknown	Pinned	1							NO	NO	NO	NO	NO			Miridae	Phylinae	Phylini												NO
	Chlamydatus	monilipes	USA	California	San Diego	Carrista Creek, Morettis Junction	33.20514	-116.71795	13 May 1980		Brown and Faulkner	Adult Male	SDNH	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	None							Unknown	Pinned	2							NO	NO	NO	NO	NO			Miridae	Phylinae	Phylini												NO
	Oligotylus	meridionalis	USA	California	San Diego	Morena Dam	32.78083	-117.20694	26 May 1927		C. C. Searl	Adult Male	SDNH	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	Paratype							Unknown	Pinned	5							NO	NO	NO	NO	NO			Miridae	Phylinae	Phylini												NO
	Oligotylus	maneadero	USA	California	San Diego	Otay Mountain	32.59472	-117.06361	18 May 1978		D. Faulkner	Adult Male	SDNH	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	Paratype							Unknown	Pinned	7							NO	NO	NO	NO	NO			Miridae	Phylinae	Phylini												NO
	Oligotylus	ceanothi	USA	California	San Diego	McCain Valley	32.67222	-116.23611	03 May 1980		Brown and Faulkner	Adult Male	SDNH	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	Paratype							Unknown	Pinned	1							NO	NO	NO	NO	NO			Miridae	Phylinae	Phylini												NO
	Plagiognathus	phaceliae	USA	California	San Diego	Anza-Borrego Desert State Park, Borrego Springs	33.04866	-117.04194	01 Apr 1978		D. Faulkner	Adult Female	SDNH	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	Paratype							Unknown	Pinned	1							NO	NO	NO	NO	NO			Miridae	Phylinae	Phylini												NO
	Oligotylus	meridionalis	USA	California	San Diego	Morena Dam	32.78083	-117.20694	26 May 1927		C. C. Searl	Adult Female	SDNH	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	Paratype							Unknown	Pinned	12							NO	NO	NO	NO	NO			Miridae	Phylinae	Phylini												NO
