PBIUSI	Genus	species	Country	State_Prov	Sec_Subdiv	Locality	Lat	Lon	Start_Date	End_Date	Collector	Sex	Inst_Code	Project	Type	Det_By	Det_Date	Det_History	Spec_Notes	Loc_Notes	Accuracy	Coll_Method	Pres_Method	Spec_Count	Lat_Lon_Method	Lat_Lon_Accuracy	Elev_m	Elev_f	Elev_Det	Trip_Code	Dissections	Illustrations	Measurements	Photos	SEM	DNA	OrigUSI	Family	Subfamily	Tribe	Macro_Habitat	Micro_Habitat	Host_Family	Host_Genus	Host_species	Host_subspecies	Host_Author	Host_Common_Name	Host_Relation	Host_Location	Host_Emergence_Date	Host_with_Specimen
	Adenostomocoris	semiustus	USA	California	Glenn	10 mi W of Elk Creek	39.59855	-122.58425	07 Jun 1984		J. D. Pinto	Adult Female	UCR	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	None							Unknown	Pinned	1							NO	NO	NO	NO	NO			Miridae	Phylinae	Phylini												NO
	Tuxedo	susansolomonae	USA	California	Glenn	10 mi W of Elk Creek	39.59855	-122.58425	07 Jun 1984		J. D. Pinto	Adult Female	UCR	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	None							Unknown	Pinned	1							NO	NO	NO	NO	NO			Miridae	Phylinae	Phylini												NO
	Acyrthosiphon (Acyrthosiphon)	kondoi	USA	California	Alameda	Berkeley	37.87167	-122.27167	21 Jun 1976		Mona Maldi	Adult sex unknown	UCR	Data citation: Tri-Trophic Thematic Collection Network, 2014 (and updates). Version: <download date>. http://tcn.amnh.org/. National Science Foundation grant(s) EF#1115081, EF#1115103, EF#1115080, EF#1115144, EF#1115191, EF#1115104, EF#1115115; Contact: Johnson, Christine (cjohnson@amnh.org); Link: http://tcn.amnh.org/	None	R.C. Dickson				bee specimens		Unknown	Pinned	2							NO	NO	NO	NO	NO		UCR-ERM-aph-0000122	Aphididae	Aphidinae	Macrosiphini			Fabaceae	Medicago				alfalfa	associated with			NO
	Tuberculatus (Tuberculoides)	annulatus	USA	California	Alameda	Berkeley	37.87167	-122.27167	06 Nov 1946		R. C. Dickson	Adult sex unknown	UCR	Data citation: Tri-Trophic Thematic Collection Network, 2014 (and updates). Version: <download date>. http://tcn.amnh.org/. National Science Foundation grant(s) EF#1115081, EF#1115103, EF#1115080, EF#1115144, EF#1115191, EF#1115104, EF#1115115; Contact: Johnson, Christine (cjohnson@amnh.org); Link: http://tcn.amnh.org/	None				no determined by provided	added Alameda county		Unknown	Slide	5							NO	NO	NO	NO	NO		UCR-ERM-aph-0002043	Aphididae	Calaphidinae	Panaphidini			Fagaceae	Quercus	robur			English oak	associated with			NO
	Tuberculatus (Tuberculoides)	annulatus	USA	California	Alameda	Berkeley	37.87167	-122.27167	06 Nov 1946		R. C. Dickson	Adult sex unknown	UCR	Data citation: Tri-Trophic Thematic Collection Network, 2014 (and updates). Version: <download date>. http://tcn.amnh.org/. National Science Foundation grant(s) EF#1115081, EF#1115103, EF#1115080, EF#1115144, EF#1115191, EF#1115104, EF#1115115; Contact: Johnson, Christine (cjohnson@amnh.org); Link: http://tcn.amnh.org/	None				no determined by provided	added Alameda county		Unknown	Slide	1							NO	NO	NO	NO	NO		UCR-ERM-aph-0002044	Aphididae	Calaphidinae	Panaphidini			Fagaceae	Quercus	robur			English oak	associated with			NO
	Tuberculatus (Tuberculoides)	annulatus	USA	California	Alameda	Berkeley	37.87167	-122.27167	20 Nov 1958		R. C. Dickson	Adult Female	UCR	Data citation: Tri-Trophic Thematic Collection Network, 2014 (and updates). Version: <download date>. http://tcn.amnh.org/. National Science Foundation grant(s) EF#1115081, EF#1115103, EF#1115080, EF#1115144, EF#1115191, EF#1115104, EF#1115115; Contact: Johnson, Christine (cjohnson@amnh.org); Link: http://tcn.amnh.org/	None	R. C. Dickson				added Alameda county		Unknown	Slide	6							NO	NO	NO	NO	NO		UCR-ERM-aph-0002047	Aphididae	Calaphidinae	Panaphidini			Fagaceae	Quercus	robur			English oak	associated with			NO
	Tuberculatus (Tuberculoides)	annulatus	USA	California	Alameda	Berkeley	37.87167	-122.27167	20 Nov 1958		R. C. Dickson	Mixed	UCR	Data citation: Tri-Trophic Thematic Collection Network, 2014 (and updates). Version: <download date>. http://tcn.amnh.org/. National Science Foundation grant(s) EF#1115081, EF#1115103, EF#1115080, EF#1115144, EF#1115191, EF#1115104, EF#1115115; Contact: Johnson, Christine (cjohnson@amnh.org); Link: http://tcn.amnh.org/	None	R. C. D.				added Alameda county		Unknown	Slide	5							NO	NO	NO	NO	NO		UCR-ERM-aph-0002048	Aphididae	Calaphidinae	Panaphidini			Fagaceae	Quercus	robur			English oak	associated with			NO
	Tuberculatus (Tuberculoides)	annulatus	USA	California	Alameda	Berkeley	37.87167	-122.27167	20 Nov 1958		R. C. Dickson	Mixed	UCR	Data citation: Tri-Trophic Thematic Collection Network, 2014 (and updates). Version: <download date>. http://tcn.amnh.org/. National Science Foundation grant(s) EF#1115081, EF#1115103, EF#1115080, EF#1115144, EF#1115191, EF#1115104, EF#1115115; Contact: Johnson, Christine (cjohnson@amnh.org); Link: http://tcn.amnh.org/	None	R. C. D.				added Alameda county		Unknown	Slide	5							NO	NO	NO	NO	NO		UCR-ERM-aph-0002049	Aphididae	Calaphidinae	Panaphidini			Fagaceae	Quercus	robur			English oak	associated with			NO
	Toxoptera	aurantii	USA	California	Alameda	Berkeley, University of California campus	37.87392	-122.25074	23 Mar 1936		E.O.E.	Adult sex unknown	UCR	Data citation: Tri-Trophic Thematic Collection Network, 2014 (and updates). Version: <download date>. http://tcn.amnh.org/. National Science Foundation grant(s) EF#1115081, EF#1115103, EF#1115080, EF#1115144, EF#1115191, EF#1115104, EF#1115115; Contact: Johnson, Christine (cjohnson@amnh.org); Link: http://tcn.amnh.org/	None	Essig			mounted in KOH-Euparal	Centered on Berkely. Ucert covers city area uncertainty: 1481 m		Unknown	Slide	9	GeoLocate Software						NO	NO	NO	NO	NO		UCR-ERM-aph-0002202	Aphididae	Aphidinae	Aphidini			Theaceae	Camellia	japonica				associated with			NO
	Aphis (Aphis)	heraclella	USA	California	Alameda	Albany, University of California Gill Tract	37.88582	-122.30030	Jul 1977		S. Misari	Adult sex unknown	UCR	Data citation: Tri-Trophic Thematic Collection Network, 2014 (and updates). Version: <download date>. http://tcn.amnh.org/. National Science Foundation grant(s) EF#1115081, EF#1115103, EF#1115080, EF#1115144, EF#1115191, EF#1115104, EF#1115115; Contact: Johnson, Christine (cjohnson@amnh.org); Link: http://tcn.amnh.org/	None	R.C. Dickson				Found Gill Tract GMaps - 104-acres of land in Berkeley and Albany. Ucert covers entire area		Unknown	Slide	1	GeoLocate Software						NO	NO	NO	NO	NO		UCR-ERM-aph-0001011	Aphididae	Aphidinae	Aphidini			Apiaceae	Pastinaca	sativa				associated with			NO
	Aphis (Aphis)	heraclella	USA	California	Alameda	Albany, University of California Gill Tract	37.88582	-122.30030	Jul 1977		S. Misari	Adult sex unknown	UCR	Data citation: Tri-Trophic Thematic Collection Network, 2014 (and updates). Version: <download date>. http://tcn.amnh.org/. National Science Foundation grant(s) EF#1115081, EF#1115103, EF#1115080, EF#1115144, EF#1115191, EF#1115104, EF#1115115; Contact: Johnson, Christine (cjohnson@amnh.org); Link: http://tcn.amnh.org/	None	R.C. Dickson				Found Gill Tract GMaps - 104-acres of land in Berkeley and Albany. Ucert covers entire area		Unknown	Slide	1	GeoLocate Software						NO	NO	NO	NO	NO		UCR-ERM-aph-0001012	Aphididae	Aphidinae	Aphidini			Apiaceae	Pastinaca	sativa				associated with			NO
	Aphis (Aphis)	heraclella	USA	California	Alameda	Albany, University of California Gill Tract	37.88582	-122.30030	Jul 1977		S. Misari	Adult sex unknown	UCR	Data citation: Tri-Trophic Thematic Collection Network, 2014 (and updates). Version: <download date>. http://tcn.amnh.org/. National Science Foundation grant(s) EF#1115081, EF#1115103, EF#1115080, EF#1115144, EF#1115191, EF#1115104, EF#1115115; Contact: Johnson, Christine (cjohnson@amnh.org); Link: http://tcn.amnh.org/	None	R.C. Dickson				Found Gill Tract GMaps - 104-acres of land in Berkeley and Albany. Ucert covers entire area		Unknown	Slide	1	GeoLocate Software						NO	NO	NO	NO	NO		UCR-ERM-aph-0001013	Aphididae	Aphidinae	Aphidini			Apiaceae	Pastinaca	sativa				associated with			NO
	Aphis (Aphis)	heraclella	USA	California	Alameda	Albany, University of California Gill Tract	37.88582	-122.30030	Jul 1977		S. Misari	Adult sex unknown	UCR	Data citation: Tri-Trophic Thematic Collection Network, 2014 (and updates). Version: <download date>. http://tcn.amnh.org/. National Science Foundation grant(s) EF#1115081, EF#1115103, EF#1115080, EF#1115144, EF#1115191, EF#1115104, EF#1115115; Contact: Johnson, Christine (cjohnson@amnh.org); Link: http://tcn.amnh.org/	None	R.C. Dickson				Found Gill Tract GMaps - 104-acres of land in Berkeley and Albany. Ucert covers entire area		Unknown	Slide	1	GeoLocate Software						NO	NO	NO	NO	NO		UCR-ERM-aph-0001014	Aphididae	Aphidinae	Aphidini			Apiaceae	Pastinaca	sativa				associated with			NO
	Aphis (Aphis)	heraclella	USA	California	Alameda	Albany, University of California Gill Tract	37.88582	-122.30030	Jul 1977		S. Misari	Adult sex unknown	UCR	Data citation: Tri-Trophic Thematic Collection Network, 2014 (and updates). Version: <download date>. http://tcn.amnh.org/. National Science Foundation grant(s) EF#1115081, EF#1115103, EF#1115080, EF#1115144, EF#1115191, EF#1115104, EF#1115115; Contact: Johnson, Christine (cjohnson@amnh.org); Link: http://tcn.amnh.org/	None	R.C. Dickson				Found Gill Tract GMaps - 104-acres of land in Berkeley and Albany. Ucert covers entire area		Unknown	Slide	1	GeoLocate Software						NO	NO	NO	NO	NO		UCR-ERM-aph-0001015	Aphididae	Aphidinae	Aphidini			Apiaceae	Pastinaca	sativa				associated with			NO
	Tuberculatus (Tuberculoides)	annulatus	USA	California	Fresno	Fresno	36.74778	-119.77139	no date provided		C. A. Ferris	Adult sex unknown	UCR	Data citation: Tri-Trophic Thematic Collection Network, 2014 (and updates). Version: <download date>. http://tcn.amnh.org/. National Science Foundation grant(s) EF#1115081, EF#1115103, EF#1115080, EF#1115144, EF#1115191, EF#1115104, EF#1115115; Contact: Johnson, Christine (cjohnson@amnh.org); Link: http://tcn.amnh.org/	None	R. C. Dickson						Unknown	Slide	1							NO	NO	NO	NO	NO		UCR-ERM-aph-0002026	Aphididae	Calaphidinae	Panaphidini			Fagaceae	Quercus	sp.				associated with			NO
	Tuxedo	susansolomonae	USA	California	Humboldt	2 mi S of Honeydew	40.21552	-124.12167	04 Jun 1984		J. D. Pinto	Adult Female	UCR	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	Paratype							Unknown	Pinned	4							NO	NO	NO	NO	NO			Miridae	Phylinae	Phylini			Fagaceae	Lithocarpus	sp.				associated with			NO
	Tuxedo	susansolomonae	USA	California	Humboldt	2 mi S of Honeydew	40.21552	-124.12167	04 Jun 1984		J. D. Pinto	Adult Male	UCR	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	Paratype							Unknown	Pinned	2							NO	NO	NO	NO	NO			Miridae	Phylinae	Phylini			Fagaceae	Lithocarpus	sp.				associated with			NO
	Megalopsallus	pictipes	USA	California	Imperial	15 mi NW of Westmorland	33.19055	-115.80378	08 Jan 1977		J. D. Pinto	Adult Female	UCR	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	None							Unknown	Pinned	3							NO	NO	NO	NO	NO			Miridae	Phylinae	Phylini												NO
	Megalopsallus	pictipes	USA	California	Imperial	15 mi NW of Westmorland	33.19055	-115.80378	08 Jan 1977		J. D. Pinto	Adult Male	UCR	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	None							Unknown	Pinned	3							NO	NO	NO	NO	NO			Miridae	Phylinae	Phylini												NO
	Megalopsallus	sparsus	USA	California	Imperial	15 mi NW of Westmorland	33.19055	-115.80378	12 Feb 1977		J. D. Pinto	Adult Female	UCR	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	None							Unknown	Pinned	9							NO	NO	NO	NO	NO			Miridae	Phylinae	Phylini			Amaranthaceae	Atriplex	sp.				associated with			NO
	Megalopsallus	sparsus	USA	California	Imperial	15 mi NW of Westmorland	33.19055	-115.80378	12 Feb 1977		J. D. Pinto	Adult Male	UCR	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	None							Unknown	Pinned	5							NO	NO	NO	NO	NO			Miridae	Phylinae	Phylini			Amaranthaceae	Atriplex	sp.				associated with			NO
	Acyrthosiphon (Acyrthosiphon)	scariolae	USA	California	Imperial	Brawley	32.97861	-115.52944	05 Apr 1949		R. C. Dickson	Adult sex unknown	UCR	Data citation: Tri-Trophic Thematic Collection Network, 2014 (and updates). Version: <download date>. http://tcn.amnh.org/. National Science Foundation grant(s) EF#1115081, EF#1115103, EF#1115080, EF#1115144, EF#1115191, EF#1115104, EF#1115115; Contact: Johnson, Christine (cjohnson@amnh.org); Link: http://tcn.amnh.org/	None	R.C. Dickson						Unknown	Slide	6							NO	NO	NO	NO	NO		UCR-ERM-aph-0000149	Aphididae	Aphidinae	Macrosiphini								lettuce	associated with			NO
	Spanagonicus	albofasciatus	USA	California	Imperial	Calexico	32.67889	-115.49806	31 Jul 1958		E. I. Schlinger	Adult sex unknown	UCR	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	None							Unknown	Pinned	1							NO	NO	NO	NO	NO			Miridae	Phylinae	Phylini								alfalfa	associated with			NO
	Xyphon	triguttata	USA	California	Imperial	Calexico	32.67889	-115.49806	18 Jun 1958		E. I. Schlinger	Adult sex unknown	UCR	Data citation: Tri-Trophic Thematic Collection Network, 2014 (and updates). Version: <download date>. http://tcn.amnh.org/. National Science Foundation grant(s) EF#1115081, EF#1115103, EF#1115080, EF#1115144, EF#1115191, EF#1115104, EF#1115115; Contact: Johnson, Christine (cjohnson@amnh.org); Link: http://tcn.amnh.org/	None							Unknown	Pinned	1							NO	NO	NO	NO	NO		UCRC ENT 145025	Cicadellidae	Cicadellinae	Cicadellini												NO
	Spanagonicus	albofasciatus	USA	California	Imperial	Calexico, 11 mi W of, at foot of Mount Signal	32.67833	-115.82725	10 Oct 1976		John D. Pinto	Adult Male	UCR	Data citation: PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: <download date>. National Science Foundation grant DBI#0316495; Contact: Schuh, Randall T. (schuh@amnh.org); Link: http://research.amnh.org/pbi/	None							Unknown	Pinned	1							NO	NO	NO	NO	NO			Miridae	Phylinae	Phylini												NO
