STATE,COUNTY,MUNICIPALITY,LATITUDE,LONGITUDE,COLLECTOR,DATE COLLECTED,TRAP TYPE,DATE TRAP LAST SERVICED,HOST PLANT,FAMILY,GENUS,SPECIES,DETERMINER,DETERMINED DATE
California,San Diego,SAN YSIDRO,32.56,-117.07,KENYON,1988-08-22,,,Myoporum sp.,Aleyrodidae,Aleyrodes,spiraeoides,"Gill, Raymond",1988-08-30
California,San Diego,SAN YSIDRO,32.56,-117.07,KENYON,1988-08-22,,,Myoporum sp.,Diaspididae,Aspidiotus,nerii,"Gill, Raymond",1988-08-30
California,San Diego,San Diego,32.57,-116.94,Mike Dolsey,1984-06-26,,,Convolvulus sp.,Psyllidae,Paratrioza,cockerelli,"Gill, Raymond",1984-07-02
California,San Diego,San Diego,32.58,-117.04,Dave Posladek,2004-12-30,,,Persea americana,Aleyrodidae,Tetraleurodes,perseae,"Watson, Gillian",2005-01-06
California,San Diego,San Diego,32.58,-117.1,Jimenez,2008-07-01,,,,Aphididae,Toxoptera,aurantii,"Sorensen, John",2008-07-10
California,San Diego,CHULA VISTA,32.59,-117.05,GARDNER,1987-08-25,,,Diospyros sp.,Aleyrodidae,Dialeurodes,citri,"Gill, Raymond",1987-09-10
California,San Diego,IMPERIAL BEACH,32.59,-117.12,KENYON,1988-12-12,,,Ilex sp.,Diaspididae,Lepidosaphes,beckii,"Gill, Raymond",1988-12-15
California,San Diego,CHULA VISTA,32.6,-117.03,KNEYON,1987-07-23,,,Citrus sp.,Aleyrodidae,Dialeurodes,citri,"Gill, Raymond",1987-08-03
California,San Diego,Chula Vista,32.6,-117.02,Kenyon,1985-03-22,,,Brassica oleracea,Aphididae,Brevicoryne,brassicae,"Kono, Tok",1984-04-02
California,San Diego,Chula Vista,32.6,-117.06,Jim Kenyon,1984-06-25,,,Cynodon dactylon,Aphididae,Hysteroneura,setariae,"Kono, Tok",1984-07-18
California,San Diego,CHULA VISTA,32.61,-117.08,GARDNER,1987-08-05,,,Diospyros sp.,Aleyrodidae,Dialeurodes,citri,"Gill, Raymond",1987-08-25
California,San Diego,CHULA VISTA,32.61,-117.07,GARDNER,1987-08-11,,,Diospyros sp.,Aleyrodidae,Dialeurodes,citri,"Gill, Raymond",1987-08-25
California,San Diego,Chula Vista,32.61,-117.07,Hector Ayala/ Ben Vianzon,2010-10-13,Yellow panel trap,2010-09-28,Citrus sinensis,Margarodidae,Icerya,purchasi,"Cline, Andrew",2010-10-21
California,San Diego,Chula Vista,32.62,-117.09,James Beecher,2005-01-10,,,Persea americana,Aleyrodidae,Tetraleurodes,perseae,"Watson, Gillian",2005-01-19
California,San Diego,Chula Vista,32.62,-117.08,James Beecher,2005-01-10,,,Persea americana,Aleyrodidae,Tetraleurodes,perseae,"Watson, Gillian",2005-01-19
California,San Diego,Chula Vista,32.62,-117.06,James Beecher,2005-01-10,,,Persea americana,Aleyrodidae,Tetraleurodes,perseae,"Watson, Gillian",2005-01-19
California,San Diego,Chula Vista,32.62,-117.05,James Beecher,2005-01-10,,,Persea americana,Aleyrodidae,Tetraleurodes,perseae,"Watson, Gillian",2005-01-19
California,Fresno,CLOVIS,32.62,-117.06,VALERIANO,2001-07-11,,,Lagerstroemia sp.,Cicadellidae,Homalodisca,vitripennis,"Gill, Raymond",2001-07-18
California,San Diego,CHULA VISTA,32.63,-117.11,KENYON,1988-08-25,,,Convolvulus sp.,Aleyrodidae,Aleyrodes,spiraeoides,"Gill, Raymond",1988-09-01
California,San Diego,Chula Vista,32.63,-117.09,James Beecher,2005-01-10,,,Persea americana,Aleyrodidae,Tetraleurodes,perseae,"Watson, Gillian",2005-01-19
