EnteredBy,HoldingInstitution,InstitutionCode,bnhm_id,Date verified,Verification remarks,Corrected longitude,Corrected latitude,Corrected uncertainty radius,Corrected uncertainty radius circular polygon_WKT,Corrected uncertainty polygon_WKT,CollectionCode,ScientificName,Genus,SpecificEpithet,Kingdom,Phylum,Class,Ordr,Family,ContinentOcean,Country,StateProvince,County,Locality,MinElevationMeters,MaxElevationMeters,YearCollected,MonthCollected,DayCollected,TimeofDay,CollectorNumber,Collector,ScientificNameAuthor,IdentifiedBy,YearIdentified,MonthIdentified,DayIdentified,IndividualCount,RelatedCatalogItem,TypeStatus,PreparationType,Notes,BasisOfRecord,DateLastModified,Associated_Taxon
Adam Zeilinger,Essig Museum of Entomology,,46,3/10/2015 0:30,,-105.801172,32.985929,8317,,,,Bactericera cockerelli,Bactericera,cockerelli,Animalia,Arthropoda,Insecta,Hemiptera,Triozidae,North America,United States,New Mexico,,"La Luz Cyn., N. Mexico",,,1939,12,6,,,D.D. Jensen,"(Šulc, 1909)",,,,,,,,,,,,Artemesia
Adam Zeilinger,Essig Museum of Entomology,,55,3/10/2015 0:43,,-113.213237,32.858105,5649,,,,Bactericera cockerelli,Bactericera,cockerelli,Animalia,Arthropoda,Insecta,Hemiptera,Triozidae,North America,United States,Arizona,,"Sentinel, Ariz.",,,1939,12,20,,,D.D. Jensen,"(Šulc, 1909)",,,,,,,,,,,,creosote
Adam Zeilinger,Essig Museum of Entomology,,104,3/11/2015 16:41,Google maps.,-110.860718,37.014595,1054,,,,Bactericera cockerelli,Bactericera,cockerelli,Animalia,Arthropoda,Insecta,Hemiptera,Triozidae,North America,United States,Utah,,"War God Sprg., Navaho Mtn., Utah",,,1936,7,2,,,D.D. Jensen,"(Šulc, 1909)",,,,,,,,,,,,Arctostaphylos
Adam Zeilinger,Essig Museum of Entomology,,117.1,3/11/2015 16:48,Google maps.,-110.530459,36.683684,1579,,,,Bactericera cockerelli,Bactericera,cockerelli,Animalia,Arthropoda,Insecta,Hemiptera,Triozidae,North America,United States,Arizona,,"Betatakin, Ariz.",,,1936,6,27,,,D.D. Jensen,"(Šulc, 1909)",,,,,,,,,,,,Clematis
Adam Zeilinger,Essig Museum of Entomology,,141,3/11/2015 16:50,,-122.267168,37.877115,322,,,,Bactericera cockerelli,Bactericera,cockerelli,Animalia,Arthropoda,Insecta,Hemiptera,Triozidae,North America,United States,California,Alameda County,"U.C. Oxford Tract, Berkeley, Calif. Alameda Co.",,,1939,5,15,,,D.D. Jensen,"(Šulc, 1909)",,,,,,,,,,,,Nicotiana
Adam Zeilinger,Essig Museum of Entomology,,148,3/11/2015 16:54,Focused coordinates and error radius on area of southern Navajo Mountain in Arizona; most of it is in Utah.,-110.867183,36.993315,1966,,,,Bactericera cockerelli,Bactericera,cockerelli,Animalia,Arthropoda,Insecta,Hemiptera,Triozidae,North America,United States,Arizona,,"S.E. base of Navajo Mtn., Arizona",,,1936,7,29,,,D.D. Jensen,"(Šulc, 1909)",,,,,,,,,,,,Salix
Adam Zeilinger,Essig Museum of Entomology,,149,3/11/2015 16:57,,-110.86066,37.015112,1010,,,,Bactericera cockerelli,Bactericera,cockerelli,Animalia,Arthropoda,Insecta,Hemiptera,Triozidae,North America,United States,Utah,,"War God Sprgs., Navajo Mtn., Utah",,,1936,7,4,,,D.D. Jensen,"(Šulc, 1909)",,,,,,,,,,,,Arctostaphylos
Adam Zeilinger,Essig Museum of Entomology,,150.2,3/11/2015 16:58,,-110.254577,36.727777,5278,,,,Bactericera cockerelli,Bactericera,cockerelli,Animalia,Arthropoda,Insecta,Hemiptera,Triozidae,North America,United States,Arizona,,"Kayenta, Ariz.",,,1936,6,27,,,D.D. Jensen,"(Šulc, 1909)",,,,,,,,,,,,
Adam Zeilinger,Essig Museum of Entomology,,169,3/11/2015 16:58,,-117.396156,33.953349,12202,,,,Bactericera cockerelli,Bactericera,cockerelli,Animalia,Arthropoda,Insecta,Hemiptera,Triozidae,North America,United States,California,Riverside County,"Riverside, Calif.",,,1940,4,15,,,D.D. Jensen,"(Šulc, 1909)",,,,,,,,,,,,
Adam Zeilinger,Essig Museum of Entomology,,199,3/11/2015 16:59,,-117.182538,34.055569,9262,,,,Bactericera cockerelli,Bactericera,cockerelli,Animalia,Arthropoda,Insecta,Hemiptera,Triozidae,North America,United States,California,San Bernardino County,"Redlands, Calif, S. Berdo. Co.",,,1940,4,15,,,D.D. Jensen,"(Šulc, 1909)",,,,,,,,,,,,
