"mean","cil","ciu","rhat","params"
-5.28554745351827,-10.0620429310315,-2.4735867262551,1.00240444190386,"alpha[1]"
-5.20411855705999,-9.89189567765196,-2.25346827829525,1.00603075346849,"alpha[2]"
-5.24833232987129,-9.92102157500103,-2.3350521885248,1.00342532699073,"alpha[3]"
-5.40798037882345,-10.0503582221604,-2.64329037922412,1.00547291647821,"alpha[4]"
-5.28276169215805,-9.99731833275196,-2.44531279360427,1.00507712275524,"alpha[5]"
-5.22115082176231,-9.95481631713751,-2.21437146572359,1.00882711940471,"alpha[6]"
-5.24036926363605,-9.86206434503683,-2.35004751762128,1.00665537578681,"alpha[7]"
-5.34310955336411,-9.99774512944358,-2.52534904122715,1.00347144660485,"alpha[8]"
-5.24656583631195,-9.89443083140664,-2.30882029989036,1.00544838183805,"alpha[9]"
-5.176196046177,-9.78963288169802,-2.0996036694947,1.00299764297944,"alpha[10]"
-5.22508469879355,-9.98522502780351,-2.25278006319463,1.00625751465871,"alpha[11]"
-5.32808792144402,-9.96684898128038,-2.5482521510484,1.00603969803485,"alpha[12]"
-5.2995689453293,-9.96846283129471,-2.42976996142749,1.00471620128205,"alpha[13]"
-5.29746082980949,-9.9076784097578,-2.48958360402492,1.00389247609731,"alpha[14]"
-5.45747889976808,-10.1108066041018,-2.82382728442916,1.00649668979463,"alpha[15]"
-5.20737615852395,-9.7933858356501,-2.26033950053631,1.00431397403426,"alpha[16]"
-5.21127823995593,-9.90412695180324,-2.25786503406437,1.00649215556612,"alpha[17]"
-5.29131646945959,-9.95751569696328,-2.4218150250125,1.00601455140998,"alpha[18]"
-5.24143743575446,-9.95613609511449,-2.32067305877497,1.00587173021966,"alpha[19]"
-5.27503792237753,-9.89437314257032,-2.38635509012707,1.0041850077885,"alpha[20]"
-5.42911504447729,-10.1352631924708,-2.64817207344946,1.00381186361246,"alpha[21]"
-5.35230732276827,-9.89329875102302,-2.6119272638314,1.00390709469229,"alpha[22]"
-5.32377722743393,-9.97805876869142,-2.5259474059607,1.00346979426588,"alpha[23]"
-5.48586588673591,-10.1700255981053,-2.75691611907582,1.00663349283357,"alpha[24]"
-5.20761116533638,-9.7946194680432,-2.21887578099726,1.00762630529243,"alpha[25]"
